Número de documentos del corpus:3303
Número de palabras del corpus:48151
Palabra:*thought*  Frec:2  LogProb:-10.25199422680701
Palabra:*throws  Frec:2  LogProb:-10.25199422680701
Palabra:*tooos*  Frec:2  LogProb:-10.25199422680701
Palabra:*twitch*  Frec:2  LogProb:-10.25199422680701
Palabra:*watches  Frec:2  LogProb:-10.25199422680701
Palabra:*wink*  Frec:2  LogProb:-10.25199422680701
Palabra:*z  Frec:2  LogProb:-10.25199422680701
Palabra:+  Frec:6  LogProb:-9.153381938138901
Palabra:+_+  Frec:2  LogProb:-10.25199422680701
Palabra:+h  Frec:2  LogProb:-10.25199422680701
Palabra:-  Frec:3  LogProb:-9.846529118698847
Palabra:-(  Frec:10  LogProb:-8.642556314372909
Palabra:-)  Frec:20  LogProb:-7.949409133812964
Palabra:--  Frec:8  LogProb:-8.86569986568712
Palabra:---  Frec:3  LogProb:-9.846529118698847
Palabra:--well  Frec:2  LogProb:-10.25199422680701
Palabra:-/  Frec:3  LogProb:-9.846529118698847
Palabra:-1  Frec:2  LogProb:-10.25199422680701
Palabra:-5  Frec:3  LogProb:-9.846529118698847
Palabra:-6  Frec:2  LogProb:-10.25199422680701
Palabra:-_-  Frec:2  LogProb:-10.25199422680701
Palabra:-_-'  Frec:2  LogProb:-10.25199422680701
Palabra:-_O  Frec:2  LogProb:-10.25199422680701
Palabra:-D  Frec:6  LogProb:-9.153381938138901
Palabra:-P  Frec:6  LogProb:-9.153381938138901
Palabra:-politicians  Frec:2  LogProb:-10.25199422680701
Palabra:-shame  Frec:2  LogProb:-10.25199422680701
Palabra:-stephanie  Frec:2  LogProb:-10.25199422680701
Palabra:-The  Frec:2  LogProb:-10.25199422680701
Palabra:-}  Frec:3  LogProb:-9.846529118698847
Palabra:/  Frec:12  LogProb:-8.460234757578956
Palabra:/AGAIN/  Frec:2  LogProb:-10.25199422680701
Palabra:/emo  Frec:2  LogProb:-10.25199422680701
Palabra:/nerd  Frec:2  LogProb:-10.25199422680701
Palabra:0(  Frec:2  LogProb:-10.25199422680701
Palabra:0+3RszZ  Frec:2  LogProb:-10.25199422680701
Palabra:0F  Frec:2  LogProb:-10.25199422680701
Palabra:1/10  Frec:2  LogProb:-10.25199422680701
Palabra:1/2  Frec:3  LogProb:-9.846529118698847
Palabra:100$  Frec:3  LogProb:-9.846529118698847
Palabra:100%  Frec:4  LogProb:-9.558847046247065
