Número de documentos del corpus:6052
Número de palabras del corpus:62887
Palabra:16-04-2010  Frec:2  LogProb:-10.48310202697824
Palabra:160gb  Frec:2  LogProb:-10.48310202697824
Palabra:17th  Frec:3  LogProb:-10.077636918870075
Palabra:18+  Frec:2  LogProb:-10.48310202697824
Palabra:18r  Frec:2  LogProb:-10.48310202697824
Palabra:18th  Frec:2  LogProb:-10.48310202697824
Palabra:19north's  Frec:2  LogProb:-10.48310202697824
Palabra:19th  Frec:2  LogProb:-10.48310202697824
Palabra:2(  Frec:2  LogProb:-10.48310202697824
Palabra:20min  Frec:2  LogProb:-10.48310202697824
Palabra:22nd<3  Frec:2  LogProb:-10.48310202697824
Palabra:24/7  Frec:2  LogProb:-10.48310202697824
Palabra:27th  Frec:2  LogProb:-10.48310202697824
Palabra:2days  Frec:2  LogProb:-10.48310202697824
Palabra:2gether  Frec:2  LogProb:-10.48310202697824
Palabra:2many  Frec:2  LogProb:-10.48310202697824
Palabra:2much  Frec:3  LogProb:-10.077636918870075
Palabra:2nd  Frec:3  LogProb:-10.077636918870075
Palabra:2O1O<3  Frec:2  LogProb:-10.48310202697824
Palabra:2to  Frec:2  LogProb:-10.48310202697824
Palabra:3-6  Frec:2  LogProb:-10.48310202697824
Palabra:300$  Frec:2  LogProb:-10.48310202697824
Palabra:300+  Frec:2  LogProb:-10.48310202697824
Palabra:30in  Frec:2  LogProb:-10.48310202697824
Palabra:360gb's  Frec:2  LogProb:-10.48310202697824
Palabra:38C  Frec:2  LogProb:-10.48310202697824
Palabra:3am  Frec:2  LogProb:-10.48310202697824
Palabra:3oh  Frec:3  LogProb:-10.077636918870075
Palabra:3rd  Frec:3  LogProb:-10.077636918870075
Palabra:3v  Frec:3  LogProb:-10.077636918870075
Palabra:3xc3rc  Frec:2  LogProb:-10.48310202697824
Palabra:4-5  Frec:2  LogProb:-10.48310202697824
Palabra:4/20  Frec:2  LogProb:-10.48310202697824
Palabra:4sho  Frec:2  LogProb:-10.48310202697824
Palabra:4shuree  Frec:2  LogProb:-10.48310202697824
Palabra:4suree  Frec:2  LogProb:-10.48310202697824
Palabra:5'1  Frec:2  LogProb:-10.48310202697824
Palabra:5'6  Frec:2  LogProb:-10.48310202697824
Palabra:5'9  Frec:2  LogProb:-10.48310202697824
Palabra:512k  Frec:2  LogProb:-10.48310202697824
Palabra:53x  Frec:2  LogProb:-10.48310202697824
Palabra:54pm  Frec:2  LogProb:-10.48310202697824
Palabra:5am  Frec:2  LogProb:-10.48310202697824
Palabra:5yrs  Frec:2  LogProb:-10.48310202697824
Palabra:6'0  Frec:2  LogProb:-10.48310202697824
Palabra:6th  Frec:3  LogProb:-10.077636918870075
Palabra:7'  Frec:2  LogProb:-10.48310202697824
Palabra:70%  Frec:2  LogProb:-10.48310202697824
Palabra:70's  Frec:2  LogProb:-10.48310202697824
Palabra:7th  Frec:6  LogProb:-9.38448973831013
Palabra:8/13/09  Frec:2  LogProb:-10.48310202697824
Palabra:80's  Frec:2  LogProb:-10.48310202697824
Palabra:80s  Frec:2  LogProb:-10.48310202697824
Palabra:8r  Frec:2  LogProb:-10.48310202697824
Palabra:8says  Frec:2  LogProb:-10.48310202697824
Palabra:8th  Frec:2  LogProb:-10.48310202697824
Palabra:90%  Frec:2  LogProb:-10.48310202697824
Palabra:90s  Frec:2  LogProb:-10.48310202697824
Palabra:9r  Frec:2  LogProb:-10.48310202697824
Palabra::  Frec:1116  LogProb:-4.158743064596929
Palabra:;  Frec:195  LogProb:-5.903249648974438
Palabra:<  Frec:8  LogProb:-9.09680766585835
Palabra:<-  Frec:2  LogProb:-10.48310202697824
Palabra:<--  Frec:2  LogProb:-10.48310202697824
Palabra:<-------------  Frec:2  LogProb:-10.48310202697824
Palabra:</3  Frec:3  LogProb:-10.077636918870075
Palabra:<3  Frec:87  LogProb:-6.7103410888836015
Palabra:<3(  Frec:2  LogProb:-10.48310202697824
Palabra:<33  Frec:15  LogProb:-8.468199006435976
Palabra:<333  Frec:3  LogProb:-10.077636918870075
Palabra:<3333  Frec:4  LogProb:-9.789954846418295
Palabra:<33333  Frec:3  LogProb:-10.077636918870075
Palabra:<3r  Frec:3  LogProb:-10.077636918870075
Palabra:<3yayaay  Frec:2  LogProb:-10.48310202697824
Palabra:<br>  Frec:3  LogProb:-10.077636918870075
Palabra:<UNK>  Frec:1  LogProb:-11.176249207538184
Palabra:=  Frec:2  LogProb:-10.48310202697824
Palabra:=(  Frec:3  LogProb:-10.077636918870075
Palabra:=)  Frec:18  LogProb:-8.28587744964202
Palabra:=/  Frec:2  LogProb:-10.48310202697824
Palabra:=>  Frec:2  LogProb:-10.48310202697824
Palabra:=]  Frec:25  LogProb:-7.957373382669984
Palabra:=]]]  Frec:2  LogProb:-10.48310202697824
Palabra:=]i  Frec:2  LogProb:-10.48310202697824
Palabra:=D  Frec:6  LogProb:-9.38448973831013
Palabra:=P  Frec:2  LogProb:-10.48310202697824
Palabra:=X  Frec:2  LogProb:-10.48310202697824
Palabra:=}  Frec:2  LogProb:-10.48310202697824
Palabra:>  Frec:12  LogProb:-8.691342557750184
Palabra:>_<  Frec:2  LogProb:-10.48310202697824
Palabra:?  Frec:3018  LogProb:-3.163899568210391
Palabra:@  Frec:4  LogProb:-9.789954846418295
Palabra:@$  Frec:3  LogProb:-10.077636918870075
Palabra:@$m  Frec:3  LogProb:-10.077636918870075
Palabra:@+  Frec:8  LogProb:-9.09680766585835
Palabra:@+3r  Frec:2  LogProb:-10.48310202697824
Palabra:@K  Frec:2  LogProb:-10.48310202697824
Palabra:[  Frec:15  LogProb:-8.468199006435976
Palabra:[[  Frec:3  LogProb:-10.077636918870075
Palabra:[[no  Frec:2  LogProb:-10.48310202697824
