Número de documentos del corpus:6741
Número de palabras del corpus:96154
Palabra:*thought*  Frec:4  LogProb:-10.206273731502534
Palabra:*throws  Frec:3  LogProb:-10.493955803954316
Palabra:*tooos*  Frec:3  LogProb:-10.493955803954316
Palabra:*twitch*  Frec:3  LogProb:-10.493955803954316
Palabra:*watches  Frec:3  LogProb:-10.493955803954316
Palabra:*wink*  Frec:4  LogProb:-10.206273731502534
Palabra:*z  Frec:4  LogProb:-10.206273731502534
Palabra:+  Frec:16  LogProb:-8.819979370382644
Palabra:+_+  Frec:4  LogProb:-10.206273731502534
Palabra:+h  Frec:2  LogProb:-10.89942091206248
Palabra:-  Frec:7  LogProb:-9.646657943567112
Palabra:-(  Frec:18  LogProb:-8.70219633472626
Palabra:-)  Frec:41  LogProb:-7.878996025918117
Palabra:--  Frec:16  LogProb:-8.819979370382644
Palabra:---  Frec:5  LogProb:-9.983130180188324
Palabra:--well  Frec:4  LogProb:-10.206273731502534
Palabra:-/  Frec:4  LogProb:-10.206273731502534
Palabra:-1  Frec:3  LogProb:-10.493955803954316
Palabra:-5  Frec:4  LogProb:-10.206273731502534
Palabra:-6  Frec:3  LogProb:-10.493955803954316
Palabra:-_-  Frec:2  LogProb:-10.89942091206248
Palabra:-_-'  Frec:3  LogProb:-10.493955803954316
Palabra:-_O  Frec:4  LogProb:-10.206273731502534
Palabra:-D  Frec:11  LogProb:-9.194672819824055
Palabra:-P  Frec:13  LogProb:-9.027618735160889
Palabra:-politicians  Frec:3  LogProb:-10.493955803954316
Palabra:-shame  Frec:4  LogProb:-10.206273731502534
Palabra:-stephanie  Frec:2  LogProb:-10.89942091206248
Palabra:-The  Frec:3  LogProb:-10.493955803954316
Palabra:-}  Frec:4  LogProb:-10.206273731502534
Palabra:/  Frec:24  LogProb:-8.41451426227448
Palabra:/AGAIN/  Frec:4  LogProb:-10.206273731502534
Palabra:/emo  Frec:4  LogProb:-10.206273731502534
Palabra:/nerd  Frec:4  LogProb:-10.206273731502534
Palabra:0(  Frec:3  LogProb:-10.493955803954316
Palabra:0+3RszZ  Frec:2  LogProb:-10.89942091206248
Palabra:0F  Frec:2  LogProb:-10.89942091206248
Palabra:1/10  Frec:3  LogProb:-10.493955803954316
Palabra:1/2  Frec:4  LogProb:-10.206273731502534
Palabra:100$  Frec:4  LogProb:-10.206273731502534
Palabra:100%  Frec:6  LogProb:-9.80080862339437
Palabra:10000%  Frec:2  LogProb:-10.89942091206248
Palabra:10lbs  Frec:3  LogProb:-10.493955803954316
Palabra:11am  Frec:4  LogProb:-10.206273731502534
Palabra:11pm  Frec:3  LogProb:-10.493955803954316
Palabra:13-sided  Frec:3  LogProb:-10.493955803954316
Palabra:14th  Frec:3  LogProb:-10.493955803954316
Palabra:17th  Frec:4  LogProb:-10.206273731502534
Palabra:1800QZAK  Frec:3  LogProb:-10.493955803954316
Palabra:1900S  Frec:3  LogProb:-10.493955803954316
Palabra:1st  Frec:9  LogProb:-9.395343515286205
Palabra:2)  Frec:3  LogProb:-10.493955803954316
Palabra:2-3  Frec:4  LogProb:-10.206273731502534
Palabra:22AM  Frec:4  LogProb:-10.206273731502534
Palabra:25K  Frec:3  LogProb:-10.493955803954316
Palabra:25th  Frec:4  LogProb:-10.206273731502534
Palabra:26th  Frec:4  LogProb:-10.206273731502534
Palabra:29-5-4  Frec:3  LogProb:-10.493955803954316
Palabra:2b  Frec:5  LogProb:-9.983130180188324
Palabra:2bits  Frec:3  LogProb:-10.493955803954316
Palabra:2day  Frec:12  LogProb:-9.107661442834425
Palabra:2do  Frec:5  LogProb:-9.983130180188324
Palabra:2knock  Frec:4  LogProb:-10.206273731502534
Palabra:2morrow  Frec:3  LogProb:-10.493955803954316
Palabra:2mrrw  Frec:4  LogProb:-10.206273731502534
Palabra:2nd  Frec:4  LogProb:-10.206273731502534
Palabra:2night  Frec:6  LogProb:-9.80080862339437
Palabra:2wks  Frec:4  LogProb:-10.206273731502534
Palabra:2x  Frec:3  LogProb:-10.493955803954316
Palabra:2yrs  Frec:3  LogProb:-10.493955803954316
Palabra:3-4  Frec:4  LogProb:-10.206273731502534
Palabra:3-year-old  Frec:3  LogProb:-10.493955803954316
Palabra:30%  Frec:4  LogProb:-10.206273731502534
Palabra:30am  Frec:3  LogProb:-10.493955803954316
Palabra:30mins-and  Frec:3  LogProb:-10.493955803954316
Palabra:3inches  Frec:2  LogProb:-10.89942091206248
Palabra:3rd  Frec:6  LogProb:-9.80080862339437
Palabra:3Y3sz  Frec:2  LogProb:-10.89942091206248
Palabra:4AM  Frec:4  LogProb:-10.206273731502534
Palabra:4chan  Frec:4  LogProb:-10.206273731502534
Palabra:4da  Frec:4  LogProb:-10.206273731502534
Palabra:4gb  Frec:3  LogProb:-10.493955803954316
Palabra:4got  Frec:3  LogProb:-10.493955803954316
Palabra:5/19/10  Frec:2  LogProb:-10.89942091206248
Palabra:50ft  Frec:4  LogProb:-10.206273731502534
Palabra:50K  Frec:3  LogProb:-10.493955803954316
Palabra:5am  Frec:4  LogProb:-10.206273731502534
Palabra:5lbs  Frec:4  LogProb:-10.206273731502534
Palabra:5other  Frec:2  LogProb:-10.89942091206248
Palabra:5th  Frec:2  LogProb:-10.89942091206248
Palabra:69/gal  Frec:4  LogProb:-10.206273731502534
Palabra:7/8ths  Frec:4  LogProb:-10.206273731502534
Palabra:70$  Frec:3  LogProb:-10.493955803954316
Palabra:70s  Frec:3  LogProb:-10.493955803954316
Palabra:8+  Frec:3  LogProb:-10.493955803954316
Palabra:80's  Frec:4  LogProb:-10.206273731502534
Palabra:9ish  Frec:4  LogProb:-10.206273731502534
Palabra::  Frec:723  LogProb:-5.0091588704636605
Palabra:;  Frec:160  LogProb:-6.517394277388598
Palabra:<3  Frec:2  LogProb:-10.89942091206248
Palabra:<UNK>  Frec:1  LogProb:-11.592568092622425
Palabra:='((((  Frec:4  LogProb:-10.206273731502534
Palabra:=(  Frec:9  LogProb:-9.395343515286205
Palabra:=)  Frec:19  LogProb:-8.648129113455985
Palabra:=/  Frec:9  LogProb:-9.395343515286205
Palabra:=]  Frec:6  LogProb:-9.80080862339437
Palabra:=_=  Frec:3  LogProb:-10.493955803954316
Palabra:=D  Frec:3  LogProb:-10.493955803954316
Palabra:=gay  Frec:4  LogProb:-10.206273731502534
Palabra:=P  Frec:9  LogProb:-9.395343515286205
Palabra:>  Frec:9  LogProb:-9.395343515286205
Palabra:>>  Frec:2  LogProb:-10.89942091206248
Palabra:?  Frec:1542  LogProb:-4.251732538499151
Palabra:@  Frec:5  LogProb:-9.983130180188324
Palabra:@H  Frec:2  LogProb:-10.89942091206248
Palabra:]  Frec:8  LogProb:-9.513126550942589
Palabra:]=  Frec:2  LogProb:-10.89942091206248
Palabra:^^  Frec:3  LogProb:-10.493955803954316
Palabra:^__^  Frec:4  LogProb:-10.206273731502534
Palabra:_  Frec:7  LogProb:-9.646657943567112
Palabra:__  Frec:4  LogProb:-10.206273731502534
Palabra:``  Frec:3  LogProb:-10.493955803954316
Palabra:A  Frec:1821  LogProb:-4.085427012894817
Palabra:A$$  Frec:2  LogProb:-10.89942091206248
Palabra:A+s  Frec:3  LogProb:-10.493955803954316
Palabra:a-hole  Frec:3  LogProb:-10.493955803954316
Palabra:aa  Frec:2  LogProb:-10.89942091206248
Palabra:AAAND  Frec:4  LogProb:-10.206273731502534
Palabra:AAARRRG  Frec:3  LogProb:-10.493955803954316
Palabra:Aah  Frec:4  LogProb:-10.206273731502534
Palabra:aardvark  Frec:3  LogProb:-10.493955803954316
Palabra:AAYE  Frec:3  LogProb:-10.493955803954316
Palabra:Abbey  Frec:4  LogProb:-10.206273731502534
Palabra:abbie  Frec:2  LogProb:-10.89942091206248
Palabra:ability  Frec:7  LogProb:-9.646657943567112
Palabra:able  Frec:10  LogProb:-9.28998299962838
Palabra:about  Frec:3  LogProb:-10.493955803954316
Palabra:above  Frec:7  LogProb:-9.646657943567112
Palabra:above-da-law  Frec:4  LogProb:-10.206273731502534
Palabra:absitence  Frec:4  LogProb:-10.206273731502534
Palabra:absolutely  Frec:6  LogProb:-9.80080862339437
Palabra:absorb  Frec:3  LogProb:-10.493955803954316
Palabra:absurd  Frec:4  LogProb:-10.206273731502534
Palabra:Abundance  Frec:3  LogProb:-10.493955803954316
Palabra:academy  Frec:4  LogProb:-10.206273731502534
Palabra:accent  Frec:4  LogProb:-10.206273731502534
Palabra:acceptable  Frec:3  LogProb:-10.493955803954316
Palabra:accepted  Frec:6  LogProb:-9.80080862339437
Palabra:access  Frec:3  LogProb:-10.493955803954316
Palabra:ACCOUNT  Frec:6  LogProb:-9.80080862339437
Palabra:accountable  Frec:4  LogProb:-10.206273731502534
Palabra:accounts  Frec:6  LogProb:-9.80080862339437
Palabra:accountt  Frec:2  LogProb:-10.89942091206248
Palabra:accurate  Frec:4  LogProb:-10.206273731502534
Palabra:accuse  Frec:4  LogProb:-10.206273731502534
Palabra:ACH  Frec:3  LogProb:-10.493955803954316
Palabra:acne  Frec:3  LogProb:-10.493955803954316
Palabra:acre  Frec:3  LogProb:-10.493955803954316
Palabra:across  Frec:4  LogProb:-10.206273731502534
Palabra:act  Frec:13  LogProb:-9.027618735160889
Palabra:acted  Frec:4  LogProb:-10.206273731502534
Palabra:acting  Frec:7  LogProb:-9.646657943567112
Palabra:action  Frec:4  LogProb:-10.206273731502534
Palabra:actions  Frec:7  LogProb:-9.646657943567112
Palabra:active  Frec:4  LogProb:-10.206273731502534
Palabra:actor  Frec:3  LogProb:-10.493955803954316
Palabra:actual  Frec:9  LogProb:-9.395343515286205
Palabra:actually  Frec:35  LogProb:-8.037220031133012
Palabra:acuzam  Frec:4  LogProb:-10.206273731502534
Palabra:ad  Frec:2  LogProb:-10.89942091206248
Palabra:Adam  Frec:4  LogProb:-10.206273731502534
Palabra:Adamar's  Frec:4  LogProb:-10.206273731502534
Palabra:adchifying  Frec:3  LogProb:-10.493955803954316
Palabra:add  Frec:17  LogProb:-8.759354748566208
Palabra:added  Frec:5  LogProb:-9.983130180188324
Palabra:addict  Frec:4  LogProb:-10.206273731502534
Palabra:addictive  Frec:3  LogProb:-10.493955803954316
Palabra:adding  Frec:3  LogProb:-10.493955803954316
Palabra:addition  Frec:3  LogProb:-10.493955803954316
Palabra:address  Frec:4  LogProb:-10.206273731502534
Palabra:addressed  Frec:4  LogProb:-10.206273731502534
Palabra:admire  Frec:5  LogProb:-9.983130180188324
Palabra:admit  Frec:10  LogProb:-9.28998299962838
Palabra:Adobe  Frec:3  LogProb:-10.493955803954316
Palabra:adopted  Frec:7  LogProb:-9.646657943567112
Palabra:ADORABLE  Frec:2  LogProb:-10.89942091206248
Palabra:ads  Frec:9  LogProb:-9.395343515286205
Palabra:adults  Frec:7  LogProb:-9.646657943567112
Palabra:advantage  Frec:3  LogProb:-10.493955803954316
Palabra:adventure  Frec:4  LogProb:-10.206273731502534
Palabra:advertisements  Frec:4  LogProb:-10.206273731502534
Palabra:advice  Frec:4  LogProb:-10.206273731502534
Palabra:AE  Frec:4  LogProb:-10.206273731502534
Palabra:affect  Frec:6  LogProb:-9.80080862339437
Palabra:affidavit  Frec:4  LogProb:-10.206273731502534
Palabra:Affliction  Frec:3  LogProb:-10.493955803954316
Palabra:afford  Frec:4  LogProb:-10.206273731502534
Palabra:afraid  Frec:7  LogProb:-9.646657943567112
Palabra:after  Frec:6  LogProb:-9.80080862339437
Palabra:afterward  Frec:4  LogProb:-10.206273731502534
Palabra:afterwards  Frec:3  LogProb:-10.493955803954316
Palabra:again  Frec:6  LogProb:-9.80080862339437
Palabra:AGAINST  Frec:13  LogProb:-9.027618735160889
Palabra:age  Frec:12  LogProb:-9.107661442834425
Palabra:agency  Frec:3  LogProb:-10.493955803954316
